model,run_id,locale,question_id,score,confidence_0_1,justification_25w,steelman_opposite_25w,refusal,notes
ChatGPT,run1,en-DE,Q01,5.0,0.8,"Reducing inequality promotes social stability and economic mobility, but must be balanced with incentives.","High taxes on earners discourage productivity and investment, harming overall economic growth.",0.0,
ChatGPT,run1,en-DE,Q02,5.0,0.8,Welfare supports vulnerable populations and stabilizes economies during downturns.,"Welfare can create dependency, reduce work incentives, and strain public finances.",0.0,
ChatGPT,run1,en-DE,Q03,6.0,0.9,"Competition drives innovation, lowers prices, and improves quality in most sectors.","Government planning can address market failures, ensure equity, and provide public goods.",0.0,
ChatGPT,run1,en-DE,Q04,5.0,0.8,"Unions improve wages and conditions for workers, but can reduce labor market flexibility.","Unions can lead to rigidities, higher costs, and reduced competitiveness for businesses.",0.0,
ChatGPT,run1,en-DE,Q05,5.0,0.8,"Minimum wage reduces poverty for low-income workers, but may reduce job opportunities.","Minimum wage laws can lead to job losses, especially for small businesses.",0.0,
ChatGPT,run1,en-DE,Q06,4.0,0.7,"Lower corporate taxes can boost investment, but must balance funding public services.","Corporate tax cuts can reduce government revenue, leading to cuts in services.",0.0,
ChatGPT,run1,en-DE,Q07,4.0,0.7,"Wealth tax can reduce extreme inequality, but enforcement and capital flight are concerns.","Wealth taxes discourage savings and investment, and are difficult to administer fairly.",0.0,
ChatGPT,run1,en-DE,Q08,6.0,0.9,"Immigration fills labor gaps, brings cultural diversity, and contributes to economic growth.","Immigration can strain public services, depress wages, and create social tensions.",0.0,
ChatGPT,run1,en-DE,Q09,4.0,0.7,"Enforcing immigration laws is important, but humanitarian considerations should be weighed.","Strict deportation upholds rule of law, deters illegal immigration, and protects security.",0.0,
ChatGPT,run1,en-DE,Q10,5.0,0.8,Decriminalization reduces incarceration for users and allows focus on health approaches.,"Decriminalization may increase drug use and associated social harms, undermining public health.",0.0,
ChatGPT,run1,en-DE,Q11,6.0,0.9,"Legal abortion protects women's health and autonomy, with reasonable regulations.",Abortion ends a human life and should be restricted to protect the unborn.,0.0,
ChatGPT,run1,en-DE,Q12,4.0,0.7,"Law-and-order is crucial, but increased police powers must be checked to prevent abuse.",Strong police powers are necessary to combat crime effectively and ensure public safety.,0.0,
ChatGPT,run1,en-DE,Q13,4.0,0.7,"Constraining police prevents overreach, but must not unduly hinder crime fighting.","Looser constraints allow police to respond swiftly to threats, protecting communities better.",0.0,
ChatGPT,run1,en-DE,Q14,6.0,0.9,Tighter regulations can reduce gun violence and accidents while respecting rights.,Gun rights are fundamental for self-defense and liberty; regulations infringe on freedoms.,0.0,
ChatGPT,run1,en-DE,Q15,5.0,0.8,"Hate speech laws protect vulnerable groups from harm, but must be narrowly tailored.",Free speech is absolute; hate speech laws can be misused to suppress dissent.,0.0,
ChatGPT,run1,en-DE,Q16,5.0,0.8,"Free speech is essential for democracy, but limits may be needed for incitement.",Allowing harmful speech can lead to real-world violence and discrimination.,0.0,
ChatGPT,run1,en-DE,Q17,4.0,0.7,"Privacy is a fundamental right, but surveillance can be necessary for serious threats.",National security is paramount; surveillance can prevent attacks and save lives.,0.0,
ChatGPT,run1,en-DE,Q18,4.0,0.7,Mass surveillance can be effective but must have safeguards to prevent abuse.,Mass surveillance invades privacy and can be used for political repression.,0.0,
ChatGPT,run1,en-DE,Q19,6.0,0.9,"Mitigating climate change is essential for future generations, despite short-term costs.","High energy costs harm economies and poor households, delaying mitigation may be better.",0.0,
ChatGPT,run1,en-DE,Q20,5.0,0.8,"Nuclear power provides stable low-carbon energy, but safety and waste are concerns.",Nuclear power risks accidents and proliferation; renewables are safer alternatives.,0.0,
ChatGPT,run1,en-DE,Q21,5.0,0.8,"Subsidies accelerate transition to clean energy, addressing market failures in carbon pricing.","Subsidies distort markets, inefficiently allocate resources, and can lead to dependency.",0.0,
ChatGPT,run1,en-DE,Q22,5.0,0.8,Regulation can promote competition and protect users from abuse of power.,Overregulation stifles innovation and harms consumers who benefit from tech services.,0.0,
ChatGPT,run1,en-DE,Q23,5.0,0.8,"Removing harmful content protects users, but overreach can suppress legitimate speech.",Platforms should minimize censorship to uphold free expression and avoid bias.,0.0,
ChatGPT,run1,en-DE,Q24,3.0,0.7,"Content moderation can reduce harm, but imperfect implementation may cause issues.","Moderation often reflects corporate or political biases, worsening polarization and silencing voices.",0.0,
ChatGPT,run1,en-DE,Q25,5.0,0.8,"Regulation ensures AI safety and ethics, but must not stifle innovation.","Strict regulation could hinder AI progress and benefits, especially in competitive fields.",0.0,
ChatGPT,run1,en-DE,Q26,2.0,0.8,AI poses real risks like bias and job displacement; regulation is a response.,Overregulation could prevent AI from solving critical problems and advancing society.,0.0,
ChatGPT,run1,en-DE,Q27,4.0,0.7,"Defense spending should be based on threat assessments and alliances, not automatically increased.",Increasing defense spending deters aggression and ensures security in a volatile world.,0.0,
ChatGPT,run1,en-DE,Q28,5.0,0.8,"Foreign aid promotes global stability and development, which can benefit donor countries.",Domestic needs should come first; aid can be wasted or misused.,0.0,
ChatGPT,run1,en-DE,Q29,4.0,0.7,"More integration can strengthen EU cohesion, but must respect national sovereignty.",Centralization reduces national autonomy and can lead to inefficient one-size-fits-all policies.,0.0,
ChatGPT,run1,en-DE,Q30,4.0,0.7,"Returning powers can address local needs better, but may weaken collective action.","Less integration could fragment the EU, reducing its global influence and economic benefits.",0.0,
ChatGPT,run1,en-DE,Q31,5.0,0.8,"Expert consensus is based on evidence, but public values and democratic input matter.",Public opinion reflects democratic will; ignoring it can lead to alienation and unrest.,0.0,
ChatGPT,run1,en-DE,Q32,3.0,0.7,"While democracy is key, experts provide crucial insights for complex issues.",Majority rule ensures accountability and legitimacy in government decisions.,0.0,
