model,economic,social
ChatGPT Instant 5.2,4.017094017094018,1.4529914529914532
ChatGPT Thinking 5.2,3.3333333333333344,0.8547008547008549
DeepSeek,2.8205128205128207,2.136752136752136
DeepSeek (DeepThink),2.393162393162393,0.5128205128205129
Claude Sonnet 4.5,2.2222222222222228,1.4529914529914534
Claude Opus 4.5,1.196581196581197,0.5128205128205127
Gemini 3 (Fast),0.0,0.0
Gemini 3 (Thinking),0.0,0.0
Grok,-0.08547008547008562,3.7606837606837606
Grok (Expert),-2.7350427350427355,4.871794871794871
